CODE_IRIS_2022,CODE_IRIS_2021,CODE_IRIS_2020,CODE_IRIS_2019,CODE_IRIS_2018,CODE_IRIS_2017,CODE_IRIS_2016,CODE_IRIS_2015,CODE_IRIS_2014,CODE_IRIS_2013,CODE_IRIS_2012,CODE_IRIS_2011,CODE_IRIS_2010,CODE_IRIS_2009,CODE_IRIS_2008,CODE_IRIS_1999
140270000,140270000,140270000,140270000,140270000,140270000,145440000,145440000,145440000,145440000,145440000,145440000,145440000,145440000,145440000,145440000
140350000,140350000,140350000,140350000,140350000,140350000,140350000,147270000,147270000,147270000,147270000,147270000,147270000,147270000,147270000,147270000
140370000,140370000,140370000,140370000,140370000,140370000,140370000,145530000,145530000,145530000,145530000,145530000,145530000,145530000,145530000,145530000
140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470202
140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,140470203,146630000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,140520000,140520000,140520000,140520000,140520000,140520000,140520000,140520000,140520000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,141150000,141150000,141150000,141150000,141150000,141150000,141150000,141150000,141150000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,141290000,141290000,141290000,141290000,141290000,141290000,141290000,141290000,141290000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,141390000,141390000,141390000,141390000,141390000,141390000,141390000,141390000,141390000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,142550000,142550000,142550000,142550000,142550000,142550000,142550000,142550000,142550000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,142640000,142640000,142640000,142640000,142640000,142640000,142640000,142640000,142640000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,143170000,143170000,143170000,143170000,143170000,143170000,143170000,143170000,143170000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,143950000,143950000,143950000,143950000,143950000,143950000,143950000,143950000,143950000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,144400000,144400000,144400000,144400000,144400000,144400000,144400000,144400000,144400000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,144410000,144410000,144410000,144410000,144410000,144410000,144410000,144410000,144410000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,144430000,144430000,144430000,144430000,144430000,144430000,144430000,144430000,144430000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,145320000,145320000,145320000,145320000,145320000,145320000,145320000,145320000,145320000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,145730000,145730000,145730000,145730000,145730000,145730000,145730000,145730000,145730000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,146180000,146180000,146180000,146180000,146180000,146180000,146180000,146180000,146180000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,146290000,146290000,146290000,146290000,146290000,146290000,146290000,146290000,146290000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,146320000,146320000,146320000,146320000,146320000,146320000,146320000,146320000,146320000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,146360000,146360000,146360000,146360000,146360000,146360000,146360000,146360000,146360000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,146550000,146550000,146550000,146550000,146550000,146550000,146550000,146550000,146550000
140610000,140610000,140610000,140610000,140610000,140610000,140610000,147040000,147040000,147040000,147040000,147040000,147040000,147040000,147040000,147040000
140980000,140980000,140980000,140980000,140980000,140980000,141090000,141090000,141090000,141090000,141090000,141090000,141090000,141090000,141090000,141090000
140980000,140980000,140980000,140980000,140980000,140980000,141570000,141570000,141570000,141570000,141570000,141570000,141570000,141570000,141570000,141570000
140980000,140980000,140980000,140980000,140980000,140980000,144230000,144230000,144230000,144230000,144230000,144230000,144230000,144230000,144230000,144230000
140980000,140980000,140980000,140980000,140980000,140980000,145250000,145250000,145250000,145250000,145250000,145250000,145250000,145250000,145250000,145250000
140980000,140980000,140980000,140980000,140980000,140980000,145680000,145680000,145680000,145680000,145680000,145680000,145680000,145680000,145680000,145680000
141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182006,141182003
141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182007,141182003
141260000,141260000,141260000,141260000,146040000,146040000,146040000,146040000,146040000,146040000,146040000,146040000,146040000,146040000,146040000,146040000
141430000,141430000,141430000,141430000,141430000,141430000,143720000,143720000,143720000,143720000,143720000,143720000,143720000,143720000,143720000,143720000
141430000,141430000,141430000,141430000,141430000,141430000,147220000,147220000,147220000,147220000,147220000,147220000,147220000,147220000,147220000,147220000
141500000,141500000,141500000,141500000,140020000,140020000,140020000,140020000,140020000,140020000,140020000,140020000,140020000,140020000,140020000,140020000
141500000,141500000,141500000,141500000,140130000,140130000,140130000,140130000,140130000,140130000,140130000,140130000,140130000,140130000,140130000,140130000
141500000,141500000,141500000,141500000,145050000,145050000,145050000,145050000,145050000,145050000,145050000,145050000,145050000,145050000,145050000,145050000
141500000,141500000,141500000,141500000,147030000,147030000,147030000,147030000,147030000,147030000,147030000,147030000,147030000,147030000,147030000,147030000
141740201,141740201,141740201,141740201,141740201,141740201,141740201,141520000,141520000,141520000,141520000,141520000,141520000,141520000,141520000,141520000
141740201,141740201,141740201,141740201,141740201,141740201,141740201,143610000,143610000,143610000,143610000,143610000,143610000,143610000,143610000,143610000
141740201,141740201,141740201,141740201,141740201,141740201,141740201,145230000,145230000,145230000,145230000,145230000,145230000,145230000,145230000,145230000
141740201,141740201,141740201,141740201,141740201,141740201,141740201,145850000,145850000,145850000,145850000,145850000,145850000,145850000,145850000,145850000
141740201,141740201,141740201,141740201,141740201,141740201,141740201,146530000,146530000,146530000,146530000,146530000,146530000,146530000,146530000,146530000
142000000,142000000,142000000,142000000,142000000,142000000,145770000,145770000,145770000,145770000,145770000,145770000,145770000,145770000,145770000,145770000
